ApproxNeuraLCBV2-net has 801 parameters.
start
RuLSIF starting...
Searching for the optimal sigma and lambda...
sigma = 0.00100, lambda = 0.00100, score = 0.00000
sigma = 1000000.00000, lambda = 10.00000, score = -0.49408
sigma = 1000000.00000, lambda = 100.00000, score = -0.36019
sigma = 1000000.00000, lambda = 1000.00000, score = -0.07909
sigma = 1000000.00000, lambda = 10000.00000, score = -0.00888
sigma = 1000000.00000, lambda = 100000.00000, score = -0.00090
sigma = 1000000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 1000000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 1000000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 1000000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 10000000.00000, lambda = 0.00100, score = -0.49994
sigma = 10000000.00000, lambda = 0.01000, score = -0.49994
sigma = 10000000.00000, lambda = 0.10000, score = -0.49993
sigma = 10000000.00000, lambda = 1.00000, score = -0.49977
sigma = 10000000.00000, lambda = 10.00000, score = -0.49408
sigma = 10000000.00000, lambda = 100.00000, score = -0.36019
sigma = 10000000.00000, lambda = 1000.00000, score = -0.07909
sigma = 10000000.00000, lambda = 10000.00000, score = -0.00888
sigma = 10000000.00000, lambda = 100000.00000, score = -0.00090
sigma = 10000000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 10000000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 10000000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 10000000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 100000000.00000, lambda = 0.00100, score = -0.49994
sigma = 100000000.00000, lambda = 0.01000, score = -0.49994
sigma = 100000000.00000, lambda = 0.10000, score = -0.49993
sigma = 100000000.00000, lambda = 1.00000, score = -0.49977
sigma = 100000000.00000, lambda = 10.00000, score = -0.49408
sigma = 100000000.00000, lambda = 100.00000, score = -0.36019
sigma = 100000000.00000, lambda = 1000.00000, score = -0.07909
sigma = 100000000.00000, lambda = 10000.00000, score = -0.00888
sigma = 100000000.00000, lambda = 100000.00000, score = -0.00090
sigma = 100000000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 100000000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 100000000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 100000000.00000, lambda = 1000000000.00000, score = -0.00000
sigma = 1000000000.00000, lambda = 0.00100, score = -0.49994
sigma = 1000000000.00000, lambda = 0.01000, score = -0.49994
sigma = 1000000000.00000, lambda = 0.10000, score = -0.49993
sigma = 1000000000.00000, lambda = 1.00000, score = -0.49977
sigma = 1000000000.00000, lambda = 10.00000, score = -0.49408
sigma = 1000000000.00000, lambda = 100.00000, score = -0.36019
sigma = 1000000000.00000, lambda = 1000.00000, score = -0.07909
sigma = 1000000000.00000, lambda = 10000.00000, score = -0.00888
sigma = 1000000000.00000, lambda = 100000.00000, score = -0.00090
sigma = 1000000000.00000, lambda = 1000000.00000, score = -0.00009
sigma = 1000000000.00000, lambda = 10000000.00000, score = -0.00001
sigma = 1000000000.00000, lambda = 100000000.00000, score = -0.00000
sigma = 1000000000.00000, lambda = 1000000000.00000, score = -0.00000
Found optimal sigma = 0.100, lambda = 0.001.
Optimizing theta...
Approximate alpha-relative PE-divergence = 11.81
Approximate alpha-relative KL-divergence = -0.54
RuLSIF completed.
[1;34mwandb[0m: 🚀 View run [33mrich-capybara-85[0m at: [34mhttps://wandb.ai/deepbk/cs_ope/runs/av47ntf6[0m
[1;34mwandb[0m: Find logs at: [1;35m../../../../../../../gpfs/projects/ailab/tnguye11/tri/cs_ope/cs_ope/experiments/wandb/run-20241216_161805-av47ntf6/logs[0m
